grod_id,type,lon,lat,sword_reach_id,distance_to_sword
206,Dam,-101.06451988220215,40.17008535199224,74292500534,162.44533848843938
207,Dam,-101.05748176574707,29.449762750751056,75215500144,2.871857043125109
208,Dam,-100.5174938119153,18.07579178920548,77125000284,44.399465883626185
209,Dam,-100.39729356765747,44.45084613549473,74295900234,616.961198427359
210,Dam,-99.99591874952972,17.948999283491556,77125000144,75.30680057208534
211,Dam,-99.56440268778749,17.11697832602801,77119400074,54.50610428892412
212,Dam,-99.4467830657959,44.04799234801808,74295900074,22.76932660655408
213,Dam,-99.331192189239,55.858540437617314,71212000394,8.983625168126482
214,Dam,-99.21152114868164,40.07153646285861,74292500344,96.64613313190262
215,Dam,-99.16527986526489,26.559395463502106,75211000494,4.631433868375325
216,Dam,-98.90916645526886,41.59749666623617,74294400334,5.416041990565112
217,Dam,-98.86956987946667,22.784429917810364,75322000244,123.37594143014921
218,Dam,-98.66643237065523,23.959835545440136,75310800244,98.80395713641339
219,Dam,-98.55079650878906,43.06562717476563,74295700074,156.5457290960463
220,Dam,-98.52223360221666,23.965606585216033,75310800194,23.969643534224698
221,Dam,-98.49350413031391,55.53847747958517,71212000244,190.1065630122503
222,Dam,-98.4270179271698,32.870612540131,75165000834,30.81649471947178
223,Dam,-98.41807544231415,30.75125011532936,75183000184,29.630054525041576
224,Dam,-98.3842420578003,30.730585182357405,75183000164,3.086651623692572
225,Dam,-98.33805441856384,30.555336556096336,75183000094,4.854159144347126
